seller_id,productId,title,description,imageUrlStr,quantity,mrp,sellingPrice,specialPrice,categories,productBrand,productFamily,inStock,codAvailable,offers,discount,shippingCharges,deliveryTime,size,color,sizeUnit,storage,displaySize,keySpecsStr,detailedSpecsStr,specificationList,sellerName,sellerAverageRating,sellerNoOfRatings,sellerNoOfReviews,sleeve,neck,idealFor
,DEAL-JD-5100084619,PHOSPHOR LAPTOP BAG(Size - STANDARD ),,http://static2.jassets.com/p/Phosphorus-Green-Canvas-Synthetic-Laptop-Bag-0702-4087631-1-pdp_slider_l.jpg,1,4000,4000,4000,20,PHOSPHOR,,TRUE,TRUE,,5,0,Usually Delivered within 8 days.,,,,,,,,,,4.2323165,5746505,254630,,,
,DEAL-JD-5100084595,PHOSPHOR LAPTOP BAG(Size - STANDARD ),,http://static2.jassets.com/p/Phosphorus-Green-Canvas-Synthetic-Laptop-Bag-8329-0777631-1-pdp_slider_l.jpg,1,4125,4125,4125,20,PHOSPHOR,,TRUE,TRUE,,5,0,Usually Delivered within 8 days.,,,,,,,,,,3.7364748,573,32,,,
,DEAL-JD-5100084596,PHOSPHOR LAPTOP BAG(Size - STANDARD ),,http://static2.jassets.com/p/Phosphorus-Black--Canvas-Synthetic-Laptop-Bag-8760-0187631-1-pdp_slider_l.jpg,1,4125,4125,4125,20,PHOSPHOR,,TRUE,TRUE,,5,0,Usually Delivered within 8 days.,,,,,,,,,,4.220196,5791285,255327,,,
,DEAL-JD-5100084601,PHOSPHOR LAPTOP BAG(Size - STANDARD ),,http://static2.jassets.com/p/Phosphorus-Green-Canvas-Synthetic-Laptop-Bag-8329-0777631-1-pdp_slider_l.jpg,1,4125,4125,4125,20,PHOSPHOR,,TRUE,TRUE,,5,0,Usually Delivered within 8 days.,,,,,,,,,,3.3453608,194,19,,,
,DEAL-JD-5100084602,PHOSPHOR LAPTOP BAG(Size - STANDARD ),,http://static2.jassets.com/p/Phosphorus-Brown--Canvas-Synthetic-Laptop-Bag-1102-8087631-1-pdp_slider_l.jpg,1,4125,4125,4125,20,PHOSPHOR,,TRUE,TRUE,,5,0,Usually Delivered within 8 days.,,,,,,,,,,4.2323165,5746505,254630,,,
,DEAL-JD-5100084597,PHOSPHOR LAPTOP BAG(Size - STANDARD ),,http://static2.jassets.com/p/Phosphorus-Black-Color-Canvas-Synthetic-Laptop-Bag-5743-8777631-1-pdp_slider_l.jpg,1,4188,4188,4188,20,PHOSPHOR,,TRUE,TRUE,,5,0,Usually Delivered within 8 days.,,,,,,,,,,4.2323165,5746505,254630,,,
,DEAL-JD-5100084630,PHOSPHOR DUFFEL BAGS(Size - STANDARD ),,http://static2.jassets.com/p/Phosphorus-Nvay-Blue-Color-Canvas-Synthetic-Duffle-Bag-1148-4487631-1-pdp_slider_l.jpg,1,4375,4375,4375,20,PHOSPHOR,,TRUE,TRUE,,5,0,Usually Delivered within 8 days.,,,,,,,,,,3.9459877,648,21,,,
,DEAL-JD-5100084631,PHOSPHOR DUFFEL BAGS(Size - STANDARD ),,http://static2.jassets.com/p/Phosphorus-Brown-Color-Canvas-Synthetic-Duffle-Bag-4114-2487631-1-pdp_slider_l.jpg,1,4375,4375,4375,20,PHOSPHOR,,TRUE,TRUE,,5,0,Usually Delivered within 8 days.,,,,,,,,,,4.2323165,5746505,254630,,,
,DEAL-JD-5100084634,PHOSPHOR DUFFEL BAGS(Size - STANDARD ),,http://static2.jassets.com/p/Phosphorus-Kahki-Color-Canvas-Synthetic-Duffle-Bag-5742-0587631-1-pdp_slider_l.jpg,1,4375,4375,4375,20,PHOSPHOR,,TRUE,TRUE,,5,0,Usually Delivered within 8 days.,,,,,,,,,,3.731239,573,31,,,
,DEAL-JD-5100084605,PHOSPHOR LAPTOP BAG(Size - STANDARD ),,http://static2.jassets.com/p/Phosphorus-Green-Canvas-Synthetic-Laptop-Bag-3318-2187631-1-pdp_slider_l.jpg,1,4188,4188,4188,20,PHOSPHOR,,TRUE,TRUE,,5,0,Usually Delivered within 8 days.,,,,,,,,,,3.9459877,648,21,,,
,DEAL-JD-5100084606,PHOSPHOR LAPTOP BAG(Size - STANDARD ),,http://static2.jassets.com/p/Phosphorus-Navy-Blue-Color-Canvas-Synthetic-Laptop-Bag-6910-2877631-1-pdp_slider_l.jpg,1,4188,4188,4188,20,PHOSPHOR,,TRUE,TRUE,,5,0,Usually Delivered within 8 days.,,,,,,,,,,3.889535,688,96,,,
,DEAL-JD-5100084598,PHOSPHOR LAPTOP BAG(Size - STANDARD ),,http://static2.jassets.com/p/Phosphorus-Grey-Canvas-Synthetic-Laptop-Bag-9948-4777631-1-pdp_slider_l.jpg,1,4250,4250,4250,20,PHOSPHOR,,TRUE,TRUE,,5,0,Usually Delivered within 8 days.,,,,,,,,,,3.7338004,571,31,,,
,DEAL-JD-5100084599,PHOSPHOR LAPTOP BAG(Size - STANDARD ),,http://static2.jassets.com/p/Phosphorus-Brown-Canvas-Synthetic-Laptop-Bag-1225-4187631-1-pdp_slider_l.jpg,1,4250,4250,4250,20,PHOSPHOR,,TRUE,TRUE,,5,0,Usually Delivered within 8 days.,,,,,,,,,,3.9459877,648,21,,,
,DEAL-JD-5100084603,PHOSPHOR LAPTOP BAG(Size - STANDARD ),,http://static2.jassets.com/p/Phosphorus-Beige-Canvas-Synthetic-Laptop-Bag-5749-2777631-1-pdp_slider_l.jpg,1,4250,4250,4250,20,PHOSPHOR,,TRUE,TRUE,,5,0,Usually Delivered within 8 days.,,,,,,,,,,3.889535,688,96,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
